Converting par_all22_na.inp and top_all22_na.inp to Amber format
HT     1.008          H ! TIPS3P WATER HYDROGEN
H1     1.008          H ! Nucleic acid amine proton
H2     1.008          H ! Nucleic acid ring nitrogen proton
H3     1.008          H ! Nucleic acid aromatic carbon proton
H4     1.008          H ! Nucleic acid phosphate hydroxyl proton
H5     1.008          H ! Nucleic acid ribose hydroxyl proton
H6     1.008          H ! Nucleic acid ribose aliphatic proton
H7     1.008          H ! Nucleic acid proton (equivalent to protein HA)
HB     1.008          H ! NAD+ aromatic hydrogen
C1    12.011          C ! Nucleic acid carbonyl carbon
C2    12.011          C ! Nucleic acid aromatic carbon to amide
C3    12.011          C ! Nucleic acid aromatic carbon 
C4    12.011          C ! Nucleic acid purine C8 and ADE C2  
C5    12.011          C ! Nucleic acid purine C4 and C5
C6    12.011          C ! Nucleic acid sp3 ribose ring carbon
CB    12.011          C ! Nucleic acid sp3 ribose ring carbon, C1'
CC    12.011          C ! Nucleic acid sp3 deoxyribose ring carbon, C2'
C7    12.011          C ! Nucleic acid carbon (equivalent to protein CT1)
C8    12.011          C ! Nucleic acid carbon (equivalent to protein CT2)
C9    12.011          C ! Nucleic acid carbon (equivalent to protein CT3)
CA    12.011          C ! Nucleic acid aromatic carbon for 5MC
CB    12.011          C ! NAD+ aromatic carbon
CC    12.011          C ! NADH aromatic carbon
CD    12.011          C ! Nucleic acid aromatic carbon for 5MC
CE    12.011          C ! NAD+/NADH amide carbonyl carbon
N1    14.007          N ! Nucleic acid amide nitrogen
N2    14.007          N ! Nucleic acid protonated ring nitrogen
NU    14.007          N ! Nucleic acid protonated ring nitrogen, ura N3
NG    14.007          N ! Nucleic acid protonated ring nitrogen, gua N1
N3    14.007          N ! Nucleic acid unprotonated ring nitrogen 
N4    14.007          N ! Nucleic acid purine N7
N5    14.007          N ! Nucleic acid sp2 amine nitrogen
NA    14.007          N ! Nucleic acid unprotonated ring nitrogen, ade N1 and N
NI    14.007          N ! Nucleic acid unprotonated ring nitrogen, inosine N3
OT    15.999          O ! TIPS3P WATER OXYGEN
O1    15.999          O ! Nucleic acid carbonyl oxygen
OC    15.999          O ! Nucleic acid carbonyl oxygen, cyt O2
O2    15.999          O ! Nucleic acid phosphate ester oxygen
O3    15.999          O ! Nucleic acid =O in phosphate 
O4    15.999          O ! Nucleic acid phosphate hydroxyl oxygen
O5    15.999          O ! Nucleic acid ribose hydroxyl oxygen
O6    15.999          O ! Nucleic acid ribose ring oxygen
P     30.974          P ! phosphorus
P2    30.974          P ! pyrophosphate phosphorus
SO    22.990          NA ! Sodium Ion
MG    24.305          MG ! Magnesium Ion
DU     0.001          H ! dummy atom


C1-C3   302.0000    1.4250 !U,T,  par_a4 JWK 9/30/91                        
CE-C3   302.0000    1.4800 !nad/ppi, jjp1/adm jr. 7/95                      
C1-C5   302.0000    1.3600 !G,  JWK, adm jr., 7/24/91                       
CE-N1   560.0000    1.3600 !nad/ppi, jjp1/adm jr. 7/95                      
C1-N2   302.0000    1.4000 !U, JWK, adm jr., 7/24/91                        
C1-NG   340.0000    1.4100 !G, par_a4 JWK 9/30/91                           
C1-NU   340.0000    1.4100 !U, par_a4 JWK 9/30/91                           
C1-N3   400.0000    1.3580 !C, par_a6 JWK 9/30/91                           
C1-O1   620.0000    1.2350 !U,A,G par_a4 adm jr., 10/2/91                   
CE-O1   860.0000    1.2300 !nad/ppi, jjp1/adm jr. 7/95                      
C1-OC   620.0000    1.2450 !C, adm jr., 10/2/91                             
C2-C3   302.0000    1.4200 !C, JWK, adm jr., 7/24/91                        
C2-CD   260.0000    1.4050 !5mc, adm jr., 9/9/93, from C2 C3                
C2-C5   302.0000    1.3600 !A, JWK, adm jr., 10/2/91                        
C2-N1   400.0000    1.3650 !C,A,G JWK, adm jr., 10/2/91                     
C2-NG   400.0000    1.4000 !G  JWK, adm jr., 7/24/91                        
C2-N3   400.0000    1.3400 !C  par_a6 JWK 9/30/91                           
C2-NA   320.0000    1.3400 !A  par_a8 JWK 9/30/91                           
C3-C3   560.0000    1.3350 ! par_a4 JWK 9/30/91                             
CA-C3   450.0000    1.3600 !nad/ppi, jjp1/adm jr. 7/95                      
CB-C3   420.0000    1.3500 !nad/ppi, jjp1/adm jr. 7/95                      
CC-C3   420.0000    1.3200 !nadh/ppi, jjp1/adm jr. 7/95                     
CD-C3   560.0000    1.3350 !5mc, adm jr., 9/9/93, from C3 C3                
C3-C8   222.5000    1.4900 !nadh/ppi, jjp1/adm jr. 7/95                     
C3-C9   230.0000    1.4800 !T, par_51, adm jr., 7/24/91                     
CD-C9   230.0000    1.4800 !5mc, adm jr., 9/9/93, from C3 C9                
C3-H3   350.0000    1.0900 !C,U, JWK                                        
C3-HB   350.0000    1.0900 !nad/ppi, jjp1/adm jr. 7/95                      
CA-HB   350.0000    1.0900 !nad/ppi, jjp1/adm jr. 7/95                      
CB-HB   350.0000    1.0900 !nad/ppi, jjp1/adm jr. 7/95                      
