Converting par_all22_prot.inp and top_all22_prot.inp to Amber format
H      1.008           H ! polar H
HC     1.008           H ! N-ter H
HA     1.008           H ! nonpolar H
HT     1.008           H ! TIPS3P WATER HYDROGEN
HP     1.008           H ! aromatic H
HB     1.008           H ! backbone H
H1     1.008           H ! his he1, (+) his HG,HD2
H2     1.008           H ! (+) his HE1
H3     1.008           H ! neutral his HG, HD2
HS     1.008           H ! thiol hydrogen
HK     1.008           H ! for alkene; RHC=CR
HL     1.008           H ! for alkene; H2C=CR
C     12.011           C ! carbonyl C, peptide backbone
CA    12.011           C ! aromatic C
C1    12.011           C ! aliphatic sp3 C for CH
C2    12.011           C ! aliphatic sp3 C for CH2
C3    12.011           C ! aliphatic sp3 C for CH3
C4    12.011           C ! his CG and CD2 carbons
C5    12.011           C ! his CE1 carbon
CP    12.011           C ! trp C between rings
CY    12.011           C ! TRP C in pyrrole ring
C6    12.011           C ! tetrahedral C (proline CA)
C7    12.011           C ! tetrahedral C (proline CB/CG)
C8    12.011           C ! tetrahedral C (proline CD)
CC    12.011           C ! carbonyl C, asn,asp,gln,glu,cter,ct2
CD    12.011           C ! carbonyl C, pres aspp,glup,ct1
CP    12.011           C ! heme alpha-C
CB    12.011           C ! heme beta-C
CN    12.011           C ! heme meso-C
CM    12.011           C ! heme CO carbon
CS    12.011           C ! thiolate carbon
CK    12.011           C ! for alkene; RHC=CR
CL    12.011           C ! for alkene; H2C=CR
N     14.007           N ! proline N
N4    14.007           N ! neutral his protonated ring nitrogen
N5    14.007           N ! neutral his unprotonated ring nitrogen
N6    14.007           N ! charged his ring nitrogen
N1    14.007           N ! peptide nitrogen
N2    14.007           N ! amide nitrogen
N3    14.007           N ! ammonium nitrogen
NC    14.007           N ! guanidinium nitroogen
NY    14.007           N ! TRP N in pyrrole ring
NP    14.007           N ! Proline ring NH2+ (N-terminal)
NH    14.007           N ! heme pyrrole N
O     15.999           O ! carbonyl oxygen
OB    15.999           O ! carbonyl oxygen in acetic acid
OC    15.999           O ! carboxylate oxygen
OH    15.999           O ! hydroxyl oxygen
OS    15.999           O ! ester oxygen
OT    15.999           O ! TIPS3P WATER OXYGEN
OM    15.999           O ! heme CO/O2 oxygen
S     32.060           S ! sulphur
SM    32.060           S ! sulfur C-S-S-C type
SS    32.060           S ! thiolate sulfur
HE     4.003           HE ! helium
NE    20.180           NE ! neon
CQ    40.080           CA ! calcium 2+
ZN    65.370           ZN ! zinc (II) cation
FE    55.847           Fe ! heme iron 56
DU     0.000           H ! dummy atom


